Density L1,Density L2,Density Linf,Velocity L1,Velocity L2,Velocity Linf,Maximum Level,Testcase,Executable
9.493627885936063e-05,0.00555690735493702,0.6602509079262235,6.959805417824551e-05,0.005050374520821784,0.6281270537058744,0,SodX,ALPACA_2_16_4_RK2_Hllc_LocalLaxFriedrichs_WENOAO53_HOUC5_ReconstructionStencil_Min_Linearized
5.7647938772732265e-06,0.0006864290456905564,0.17951314901340087,4.354455760771071e-06,0.0005910947451862635,0.24089239454168776,2,SodX,ALPACA_2_16_4_RK2_Hllc_LocalLaxFriedrichs_WENOAO53_HOUC5_ReconstructionStencil_Min_Linearized
4.023328911999874e-07,0.00018282875272291325,0.1914025245008537,2.9207356814908724e-07,0.00014445268034136223,0.21322142175259146,4,SodX,ALPACA_2_16_4_RK2_Hllc_LocalLaxFriedrichs_WENOAO53_HOUC5_ReconstructionStencil_Min_Linearized
9.493627885936063e-05,0.0055569073549370206,0.6602509079262235,0.001700047511527432,0.03810071408711578,0.9274526200489498,0,SodY,ALPACA_2_16_4_RK2_Hllc_LocalLaxFriedrichs_WENOAO53_HOUC5_ReconstructionStencil_Min_Linearized
5.7647938772732265e-06,0.0006864290456905565,0.17951314901340087,0.0006643900462465985,0.023521724353121186,0.9274526200489498,2,SodY,ALPACA_2_16_4_RK2_Hllc_LocalLaxFriedrichs_WENOAO53_HOUC5_ReconstructionStencil_Min_Linearized
4.0233289119998737e-07,0.00018282875272291325,0.1914025245008537,0.0002715398521673419,0.0149903257697456,0.9274526200489498,4,SodY,ALPACA_2_16_4_RK2_Hllc_LocalLaxFriedrichs_WENOAO53_HOUC5_ReconstructionStencil_Min_Linearized
9.998053369651203e-05,0.005568023923701178,0.6566839955257726,7.66843630096948e-05,0.0051668582183588,0.6359324244860215,0,SodX,ALPACA_2_16_4_RK2_Roe_LocalLaxFriedrichs_WENOAO53_HOUC5_ReconstructionStencil_Min_Linearized
6.4914735496722326e-06,0.000700571051003809,0.17817272607595214,5.121619442877945e-06,0.0006156703438873203,0.23041158635877523,2,SodX,ALPACA_2_16_4_RK2_Roe_LocalLaxFriedrichs_WENOAO53_HOUC5_ReconstructionStencil_Min_Linearized
4.435981994799902e-07,0.00018944709810901942,0.21766407594753256,3.2931701269211893e-07,0.00015593875921357246,0.25607579217383664,4,SodX,ALPACA_2_16_4_RK2_Roe_LocalLaxFriedrichs_WENOAO53_HOUC5_ReconstructionStencil_Min_Linearized
9.998053369651203e-05,0.005568023923701177,0.6566839955257726,0.0017004244818570712,0.0381040193267893,0.9274526200489498,0,SodY,ALPACA_2_16_4_RK2_Roe_LocalLaxFriedrichs_WENOAO53_HOUC5_ReconstructionStencil_Min_Linearized
6.491473549672232e-06,0.0007005710510038091,0.17817272607595214,0.0006644855959696203,0.02352301368398274,0.9274526200489498,2,SodY,ALPACA_2_16_4_RK2_Roe_LocalLaxFriedrichs_WENOAO53_HOUC5_ReconstructionStencil_Min_Linearized
4.4359819947999007e-07,0.0001894470981090194,0.21766407594753256,0.00023292342197731608,0.013957300771892191,0.9274526200489498,4,SodY,ALPACA_2_16_4_RK2_Roe_LocalLaxFriedrichs_WENOAO53_HOUC5_ReconstructionStencil_Min_Linearized
3.158305468734253e-05,0.0018198256961660488,0.19989547806004193,2.1855785341123753e-05,0.0015902053317112252,0.2223333778252083,0,SodX,ALPACA_2_24_4_RK2_Hllc_LocalLaxFriedrichs_WENOAO53_HOUC5_ReconstructionStencil_Min_Linearized
2.597848454140496e-06,0.0004639476026424289,0.1907398235880826,1.9220893775538796e-06,0.0003885581231701927,0.2343021479256744,2,SodX,ALPACA_2_24_4_RK2_Hllc_LocalLaxFriedrichs_WENOAO53_HOUC5_ReconstructionStencil_Min_Linearized
1.8655897645328663e-07,0.0001327242522308445,0.2312854895415577,1.3041148926189257e-07,0.00010048196057985499,0.25212104388554823,4,SodX,ALPACA_2_24_4_RK2_Hllc_LocalLaxFriedrichs_WENOAO53_HOUC5_ReconstructionStencil_Min_Linearized
3.1583054687342476e-05,0.0018198256961660488,0.19989547806004193,0.001158789463101086,0.031487484868051946,0.9274526200489498,0,SodY,ALPACA_2_24_4_RK2_Hllc_LocalLaxFriedrichs_WENOAO53_HOUC5_ReconstructionStencil_Min_Linearized
2.5978484541405043e-06,0.00046394760264242905,0.1907398235880826,0.00044185846253645347,0.019181562089070923,0.9274526200489498,2,SodY,ALPACA_2_24_4_RK2_Hllc_LocalLaxFriedrichs_WENOAO53_HOUC5_ReconstructionStencil_Min_Linearized
1.8655897645327792e-07,0.00013272425223084447,0.2312854895415577,0.00018094988303239608,0.012236880479839217,0.9274526200489498,4,SodY,ALPACA_2_24_4_RK2_Hllc_LocalLaxFriedrichs_WENOAO53_HOUC5_ReconstructionStencil_Min_Linearized
3.38068066999611e-05,0.0018687170498972487,0.20242796764433324,2.4772089834597117e-05,0.001690406115688108,0.23962083016847052,0,SodX,ALPACA_2_24_4_RK2_Roe_LocalLaxFriedrichs_WENOAO53_HOUC5_ReconstructionStencil_Min_Linearized
2.9412634407502133e-06,0.0004735853211698143,0.19097354073995754,2.27135521431404e-06,0.00040508708247277106,0.2214941280822511,2,SodX,ALPACA_2_24_4_RK2_Roe_LocalLaxFriedrichs_WENOAO53_HOUC5_ReconstructionStencil_Min_Linearized
2.1276589749569055e-07,0.0001400029890351567,0.264427147889313,1.5537025204053678e-07,0.0001124054479454994,0.30468297445439063,4,SodX,ALPACA_2_24_4_RK2_Roe_LocalLaxFriedrichs_WENOAO53_HOUC5_ReconstructionStencil_Min_Linearized
3.3806806699961085e-05,0.0018687170498972484,0.20242796764433324,0.0011589843826781726,0.031489472757611096,0.9274526200489498,0,SodY,ALPACA_2_24_4_RK2_Roe_LocalLaxFriedrichs_WENOAO53_HOUC5_ReconstructionStencil_Min_Linearized
2.941263440750229e-06,0.0004735853211698146,0.19097354073995754,0.0004419088381739307,0.01918241059851292,0.9274526200489498,2,SodY,ALPACA_2_24_4_RK2_Roe_LocalLaxFriedrichs_WENOAO53_HOUC5_ReconstructionStencil_Min_Linearized
2.1276589749568692e-07,0.00014000298903515666,0.264427147889313,0.00018095822867872754,0.012237136911268102,0.9274526200489498,4,SodY,ALPACA_2_24_4_RK2_Roe_LocalLaxFriedrichs_WENOAO53_HOUC5_ReconstructionStencil_Min_Linearized
