Density L1,Density L2,Density Linf,Velocity L1,Velocity L2,Velocity Linf,Maximum Level,Testcase,Executable
6.762794299729602e-07,0.0003829835793411027,0.4933465146888345,5.050400913474137e-07,0.00035845363319870897,0.5030017298676028,0,SodX,ALPACA_1_32_6_RK3_Roe_GlobalLaxFriedrichs_WENO9_HOUC5_ReconstructionStencil_Min_Linearized
7.739207552816201e-08,9.814198382836057e-05,0.26505127985927057,5.380471331475689e-08,8.403568426938154e-05,0.2934164394501718,1,SodX,ALPACA_1_32_6_RK3_Roe_GlobalLaxFriedrichs_WENO9_HOUC5_ReconstructionStencil_Min_Linearized
2.5280202479258076e-09,1.6564475279352522e-05,0.4597570129761184,2.1540319038605984e-09,1.4907866229970206e-05,0.47483710175609156,3,SodX,ALPACA_1_32_6_RK3_Roe_GlobalLaxFriedrichs_WENO9_HOUC5_ReconstructionStencil_Min_Linearized
2.2085381601354826e-11,1.532273366394782e-06,0.2393199140095228,1.4691606011261036e-11,1.2455913681816596e-06,0.267253178143336,5,SodX,ALPACA_1_32_6_RK3_Roe_GlobalLaxFriedrichs_WENO9_HOUC5_ReconstructionStencil_Min_Linearized
6.414708790178426e-07,0.00039009129874066753,0.5030664755574523,4.451892592960489e-07,0.00036326026464005576,0.5150409221229034,0,SodX,ALPACA_1_32_6_RK3_Roe_LocalLaxFriedrichs_M_WENO5Z_HOUC5_ReconstructionStencil_Min_Linearized
7.194431057956812e-08,9.767657923294713e-05,0.2714863055966905,4.5489683272462104e-08,8.404758593138756e-05,0.3061145601656009,1,SodX,ALPACA_1_32_6_RK3_Roe_LocalLaxFriedrichs_M_WENO5Z_HOUC5_ReconstructionStencil_Min_Linearized
2.109073511904278e-09,1.965149647733694e-05,0.5541042711575153,1.5509048691370832e-09,1.7294475141055133e-05,0.5561036429621347,3,SodX,ALPACA_1_32_6_RK3_Roe_LocalLaxFriedrichs_M_WENO5Z_HOUC5_ReconstructionStencil_Min_Linearized
2.795849108342317e-11,2.630054791077343e-06,0.5928101036429583,1.6864210229928197e-11,2.2792442902221133e-06,0.586218773864718,5,SodX,ALPACA_1_32_6_RK3_Roe_LocalLaxFriedrichs_M_WENO5Z_HOUC5_ReconstructionStencil_Min_Linearized
6.138345326545156e-07,0.00036375668894964984,0.46724555792535294,4.419979586769648e-07,0.0003421951610300158,0.484352445588156,0,SodX,ALPACA_1_32_6_RK3_Roe_LocalLaxFriedrichs_M_WENO9_HOUC5_ReconstructionStencil_Min_Linearized
7.021446463485083e-08,9.175864826625869e-05,0.23043714670483273,4.6767674243328876e-08,7.815294208129853e-05,0.2621029329276631,1,SodX,ALPACA_1_32_6_RK3_Roe_LocalLaxFriedrichs_M_WENO9_HOUC5_ReconstructionStencil_Min_Linearized
1.650156224225705e-09,1.5388182355678927e-05,0.4151431888764301,1.207715468051775e-09,1.3681424572158311e-05,0.4389504259041408,3,SodX,ALPACA_1_32_6_RK3_Roe_LocalLaxFriedrichs_M_WENO9_HOUC5_ReconstructionStencil_Min_Linearized
2.256830409027288e-11,1.4453884892175105e-06,0.20459009159455288,1.5301406955637715e-11,1.182907310557949e-06,0.24844075631703721,5,SodX,ALPACA_1_32_6_RK3_Roe_LocalLaxFriedrichs_M_WENO9_HOUC5_ReconstructionStencil_Min_Linearized
