FullImplosionXYZ.xml,RayleighTaylorInstabilityThreeDimensional.xml,
8.99800000000000E+02,6.94216666666667E+03,ALPACA_3_16_4_RK3_Hllc_Roe_WENO5_HOUC5_DerivativeStencil_Weno_Linearized
9.16500000000000E+02,7.56700000000000E+03,ALPACA_3_16_4_RK3_Roe_Roe_WENO5_HOUC5_DerivativeStencil_Weno_Linearized
